BALANCE;PURCHASES;CREDIT_LIMIT
40.900749;95.4;1000
3202.467416;0;7000
2495.148862;773.17;7500
1666.670542;1499;7500
817.714335;16;1200
1809.828751;1333.28;1800
627.260806;7091.01;13500
1823.652743;436.2;2300
1014.926473;861.49;7000
152.225975;1281.6;11000
1293.124939;920.12;1200
630.794744;1492.18;2000
1516.92862;3217.99;3000
921.693369;2137.93;7500
2772.772734;0;3000
6886.213231;1611.7;8000
2072.074354;0;3000
41.089489;519;2500
1989.072228;504.35;13000
3577.970933;398.64;4000
2016.684686;176.68;2000
6369.531318;6359.95;11250
132.34224;815.9;1800
3800.151377;4248.35;9000
5368.571219;0;6000
169.781679;399.6;3000
1615.96724;102;1700
125.694817;233.28;1000
7152.864372;387.05;10500
22.06349;100;6900
12136.21996;3038.01;13000
1162.273324;1347.71;6000
6732.823064;324.95;10500
125.660453;636.79;1200
3517.101616;547.28;11000
1656.350781;0;1800
7427.076941;0;9000
4047.480828;2380.55;5000
6269.418144;204;9000
1411.60223;963.24;7500
663.44781;0;1800
784.889762;1526.59;3000
4104.710798;203.82;4500
1360.742377;0;1500
5315.945594;1525.44;8500
2242.311686;437;2400
474.447149;109.74;1700
3910.111237;0;4200
229.867179;2390.6;3300
863.809833;507.5;4000
4931.331857;901.42;12000
1078.888565;3107.85;2500
1565.681099;0;3500
464.674156;1979.22;3000
6.660517;310;1000
1311.995984;1283.9;6000
3625.218146;313.27;4000
2386.330629;5217.62;7500
3971.138765;0;4000
5493.90406;229;6000
1879.114033;113;6500
1555.793701;66.2;1600
809.582978;0;4150
7.152356;840;1600
1923.886805;1887.64;1850
1758.059987;412.33;1800
809.847455;0;1500
1576.305029;0;2500
3990.523579;263.5;6000
1699.435486;1363.69;1700
5487.683724;419.1;6250
2990.422186;4523.27;7000
656.01301;0;7000
1808.972419;713.9;2250
532.334517;791.94;6000
5860.433624;561.87;6000
1727.638449;606.11;11000
578.809679;320;1500
1205.716678;0;1200
6593.820644;388.66;7000
17.357563;244.85;5000
81.584711;0;9500
3.78631;133.05;12000
42.46443;396;1200
1935.362486;4915.6;9000
134.917202;1247.8;16500
7069.950386;1603.78;11000
